"Payment Schedule"
"Date","Defer Date","Total Due","Total Cap","Principal","Interest","Charge","Tax","Total Pymt","Outstanding"
"06 JAN 2019","","470.25","0.00","","","470.25","","","-635,806.64"
"31 JAN 2019","","0.00","0.01","","0.01","","","","-635,806.64"
"05 FEB 2019","","3,544.87","0.00","1,513.04","1,762.70","269.13","","","-634,293.60"
"28 FEB 2019","","0.00","0.01","","0.01","","","","-634,293.60"
"01 MAR 2019","","0.00","0.00","","","","","1,269.42","-634,293.60"
"05 MAR 2019","","3,544.87","0.00","1,517.24","1,758.50","269.13","","","-632,776.36"
"31 MAR 2019","","0.00","0.82","","0.82","","","","-632,776.36"
"05 APR 2019","","3,545.59","0.00","1,522.16","1,754.30","269.13","","","-631,254.20"
"30 APR 2019","","0.00","0.12","","0.12","","","","-631,254.20"
"05 MAY 2019","","3,544.86","0.00","1,525.65","1,750.08","269.13","","","-629,728.55"
"05 JUN 2019","","3,544.86","0.00","1,529.88","1,745.85","269.13","","","-628,198.67"
"30 JUN 2019","","0.00","0.01","","0.01","","","","-628,198.67"
"02 JUL 2019","","0.00","0.00","","","","","1,357.18","-628,198.67"
"05 JUL 2019","","3,544.87","0.00","1,534.13","1,741.61","269.13","","","-626,664.54"
"31 JUL 2019","","0.00","1.52","","1.52","","","","-626,664.54"
"05 AUG 2019","","3,546.37","0.00","1,539.89","1,737.35","269.13","","","-625,124.65"
"31 AUG 2019","","0.00","0.91","","0.91","","","","-625,124.65"
"05 SEP 2019","","3,545.62","0.00","1,543.41","1,733.08","269.13","","","-623,581.24"
"30 SEP 2019","","0.00","0.14","","0.14","","","","-623,581.24"
"05 OCT 2019","","3,544.87","0.00","1,546.94","1,728.80","269.13","","","-622,034.30"
"05 NOV 2019","","3,544.85","0.00","1,551.20","1,724.52","269.13","","","-620,483.10"
"30 NOV 2019","","0.00","0.01","","0.01","","","","-620,483.10"
"05 DEC 2019","","3,544.86","0.00","1,555.51","1,720.22","269.13","","","-618,927.59"
"31 DEC 2019","","0.00","0.01","","0.01","","","","-618,927.59"
"05 JAN 2020","","3,282.54","0.00","1,559.83","1,715.90","6.81","","","-617,367.76"
"31 JAN 2020","","0.00","0.01","","0.01","","","","-617,367.76"
"05 FEB 2020","","3,427.33","0.00","1,564.15","1,711.58","151.60","","","-615,803.61"
"29 FEB 2020","","0.00","0.01","","0.01","","","","-615,803.61"
"02 MAR 2020","","0.00","0.00","","","","","1,313.30","-615,803.61"
"05 MAR 2020","","3,427.34","0.00","1,568.50","1,707.24","151.60","","","-614,235.11"
"31 MAR 2020","","0.00","0.58","","0.58","","","","-614,235.11"
"05 APR 2020","","3,272.96","0.00","1,662.72","1,458.64","151.60","","","-612,572.39"
"30 APR 2020","","0.00","0.21","","0.21","","","","-612,572.39"
"05 MAY 2020","","2,976.01","0.00","1,866.80","957.61","151.60","","","-610,705.59"
"31 MAY 2020","","0.00","0.02","","0.02","","","","-610,705.59"
"05 JUN 2020","","2,975.86","0.00","1,886.36","937.90","151.60","","","-608,819.23"
"05 JUL 2020","","2,975.86","0.00","1,889.26","935.00","151.60","","","-606,929.97"
"31 JUL 2020","","0.00","0.01","","0.01","","","","-606,929.97"
"04 AUG 2020","","0.00","0.00","","","","","1,415.36","-606,929.97"
"05 AUG 2020","","2,975.87","0.00","1,892.17","932.10","151.60","","","-605,037.80"
"31 AUG 2020","","0.00","2.15","","2.15","","","","-605,037.80"
"05 SEP 2020","","2,978.27","0.00","1,897.48","929.19","151.60","","","-603,140.32"
"30 SEP 2020","","0.00","2.03","","2.03","","","","-603,140.32"
"05 OCT 2020","","2,977.84","0.00","1,899.96","926.28","151.60","","","-601,240.36"
"31 OCT 2020","","0.00","1.67","","1.67","","","","-601,240.36"
"05 NOV 2020","","2,977.42","0.00","1,902.46","923.36","151.60","","","-599,337.90"
"30 NOV 2020","","0.00","1.20","","1.20","","","","-599,337.90"
"05 DEC 2020","","2,976.98","0.00","1,904.94","920.44","151.60","","","-597,432.96"
"31 DEC 2020","","0.00","0.81","","0.81","","","","-597,432.96"
"05 JAN 2021","","2,976.56","0.00","1,907.45","917.51","151.60","","","-595,525.51"
"31 JAN 2021","","0.00","0.38","","0.38","","","","-595,525.51"
"05 FEB 2021","","3,052.64","0.00","1,909.95","914.58","228.11","","","-593,615.56"
"28 FEB 2021","","0.00","0.05","","0.05","","","","-593,615.56"
"01 MAR 2021","","0.00","0.00","","","","","1,364.33","-593,615.56"
"05 MAR 2021","","3,052.34","0.00","1,912.58","911.65","228.11","","","-591,702.98"
"31 MAR 2021","","0.00","2.89","","2.89","","","","-591,702.98"
"05 APR 2021","","3,055.19","0.00","1,918.37","908.71","228.11","","","-589,784.61"
"30 APR 2021","","0.00","2.29","","2.29","","","","-589,784.61"
"05 MAY 2021","","3,054.54","0.00","1,920.66","905.77","228.11","","","-587,863.95"
"31 MAY 2021","","0.00","1.72","","1.72","","","","-587,863.95"
"05 JUN 2021","","3,053.90","0.00","1,922.97","902.82","228.11","","","-585,940.98"
"30 JUN 2021","","0.00","1.05","","1.05","","","","-585,940.98"
"02 JUL 2021","","0.00","0.00","","","","","1,415.78","-585,940.98"
"05 JUL 2021","","3,053.26","0.00","1,925.29","899.86","228.11","","","-584,015.69"
"25 JUL 2021","","0.00","150.00","","","150.00","","","-584,165.69"
"31 JUL 2021","","0.00","4.20","","4.20","","","","-584,165.69"
"05 AUG 2021","","3,056.57","0.00","1,931.47","896.99","228.11","","","-582,234.22"
"31 AUG 2021","","0.00","4.35","","4.35","","","","-582,234.22"
"05 SEP 2021","","3,056.57","0.00","1,934.29","894.17","228.11","","","-580,299.93"
"30 SEP 2021","","0.00","4.21","","4.21","","","","-580,299.93"
"05 OCT 2021","","3,056.57","0.00","1,937.26","891.20","228.11","","","-578,362.67"
"31 OCT 2021","","0.00","4.35","","4.35","","","","-578,362.67"
"05 NOV 2021","","3,056.57","0.00","1,940.23","888.23","228.11","","","-576,422.44"
"30 NOV 2021","","0.00","4.21","","4.21","","","","-576,422.44"
"05 DEC 2021","","3,056.57","0.00","1,943.21","885.25","228.11","","","-574,479.23"
"31 DEC 2021","","0.00","4.35","","4.35","","","","-574,479.23"
"05 JAN 2022","","3,056.57","0.00","1,946.20","882.26","228.11","","","-572,533.03"
"31 JAN 2022","","0.00","4.35","","4.35","","","","-572,533.03"
"05 FEB 2022","","3,056.57","0.00","1,949.19","879.27","228.11","","","-570,583.84"
"28 FEB 2022","","0.00","3.93","","3.93","","","","-570,583.84"
"05 MAR 2022","","3,056.57","0.00","1,952.18","876.28","228.11","","","-568,631.66"
"31 MAR 2022","","0.00","4.35","","4.35","","","","-568,631.66"
"05 APR 2022","","3,056.57","0.00","1,955.18","873.28","228.11","","","-566,676.48"
"30 APR 2022","","0.00","4.21","","4.21","","","","-566,676.48"
"05 MAY 2022","","3,056.57","0.00","1,958.18","870.28","228.11","","","-564,718.30"
"31 MAY 2022","","0.00","4.35","","4.35","","","","-564,718.30"
"05 JUN 2022","","3,056.57","0.00","1,961.19","867.27","228.11","","","-562,757.11"
"30 JUN 2022","","0.00","4.21","","4.21","","","","-562,757.11"
"05 JUL 2022","","3,056.57","0.00","1,964.20","864.26","228.11","","","-560,792.91"
"31 JUL 2022","","0.00","4.35","","4.35","","","","-560,792.91"
"05 AUG 2022","","3,056.57","0.00","1,967.22","861.24","228.11","","","-558,825.69"
"31 AUG 2022","","0.00","4.35","","4.35","","","","-558,825.69"
"05 SEP 2022","","3,056.57","0.00","1,970.24","858.22","228.11","","","-556,855.45"
"30 SEP 2022","","0.00","4.21","","4.21","","","","-556,855.45"
"05 OCT 2022","","3,056.57","0.00","1,973.26","855.20","228.11","","","-554,882.19"
"31 OCT 2022","","0.00","4.35","","4.35","","","","-554,882.19"
"05 NOV 2022","","3,056.57","0.00","1,976.30","852.16","228.11","","","-552,905.89"
"30 NOV 2022","","0.00","4.21","","4.21","","","","-552,905.89"
"05 DEC 2022","","3,056.57","0.00","1,979.33","849.13","228.11","","","-550,926.56"
"31 DEC 2022","","0.00","4.35","","4.35","","","","-550,926.56"
"05 JAN 2023","","3,056.57","0.00","1,982.37","846.09","228.11","","","-548,944.19"
"31 JAN 2023","","0.00","4.35","","4.35","","","","-548,944.19"
"05 FEB 2023","","3,056.57","0.00","1,985.41","843.05","228.11","","","-546,958.78"
"28 FEB 2023","","0.00","3.93","","3.93","","","","-546,958.78"
"05 MAR 2023","","3,056.57","0.00","1,988.46","840.00","228.11","","","-544,970.32"
"31 MAR 2023","","0.00","4.35","","4.35","","","","-544,970.32"
"05 APR 2023","","3,056.57","0.00","1,991.52","836.94","228.11","","","-542,978.80"
"30 APR 2023","","0.00","4.21","","4.21","","","","-542,978.80"
"05 MAY 2023","","3,056.57","0.00","1,994.58","833.88","228.11","","","-540,984.22"
"31 MAY 2023","","0.00","4.35","","4.35","","","","-540,984.22"
"05 JUN 2023","","3,056.57","0.00","1,997.64","830.82","228.11","","","-538,986.58"
"30 JUN 2023","","0.00","4.21","","4.21","","","","-538,986.58"
"05 JUL 2023","","3,056.57","0.00","2,000.71","827.75","228.11","","","-536,985.87"
"31 JUL 2023","","0.00","4.35","","4.35","","","","-536,985.87"
"05 AUG 2023","","3,056.57","0.00","2,003.78","824.68","228.11","","","-534,982.09"
"31 AUG 2023","","0.00","4.35","","4.35","","","","-534,982.09"
"05 SEP 2023","","3,056.57","0.00","2,006.86","821.60","228.11","","","-532,975.23"
"30 SEP 2023","","0.00","4.21","","4.21","","","","-532,975.23"
"05 OCT 2023","","3,056.57","0.00","2,009.94","818.52","228.11","","","-530,965.29"
"31 OCT 2023","","0.00","4.35","","4.35","","","","-530,965.29"
"05 NOV 2023","","3,056.57","0.00","2,013.03","815.43","228.11","","","-528,952.26"
"30 NOV 2023","","0.00","4.21","","4.21","","","","-528,952.26"
"05 DEC 2023","","3,056.57","0.00","2,016.12","812.34","228.11","","","-526,936.14"
"31 DEC 2023","","0.00","4.35","","4.35","","","","-526,936.14"
"05 JAN 2024","","3,056.57","0.00","2,019.21","809.25","228.11","","","-524,916.93"
"31 JAN 2024","","0.00","4.35","","4.35","","","","-524,916.93"
"05 FEB 2024","","3,056.57","0.00","2,022.31","806.15","228.11","","","-522,894.62"
"29 FEB 2024","","0.00","4.07","","4.07","","","","-522,894.62"
"05 MAR 2024","","3,056.57","0.00","2,025.42","803.04","228.11","","","-520,869.20"
"31 MAR 2024","","0.00","4.35","","4.35","","","","-520,869.20"
"05 APR 2024","","3,056.57","0.00","2,028.53","799.93","228.11","","","-518,840.67"
"30 APR 2024","","0.00","4.21","","4.21","","","","-518,840.67"
"05 MAY 2024","","3,056.57","0.00","2,031.65","796.81","228.11","","","-516,809.02"
"31 MAY 2024","","0.00","4.35","","4.35","","","","-516,809.02"
"05 JUN 2024","","3,056.57","0.00","2,034.77","793.69","228.11","","","-514,774.25"
"30 JUN 2024","","0.00","4.21","","4.21","","","","-514,774.25"
"05 JUL 2024","","3,056.57","0.00","2,037.89","790.57","228.11","","","-512,736.36"
"31 JUL 2024","","0.00","4.35","","4.35","","","","-512,736.36"
"05 AUG 2024","","3,056.57","0.00","2,041.02","787.44","228.11","","","-510,695.34"
"31 AUG 2024","","0.00","4.35","","4.35","","","","-510,695.34"
"05 SEP 2024","","3,056.57","0.00","2,044.16","784.30","228.11","","","-508,651.18"
"30 SEP 2024","","0.00","4.21","","4.21","","","","-508,651.18"
"05 OCT 2024","","3,056.57","0.00","2,047.29","781.17","228.11","","","-506,603.89"
"31 OCT 2024","","0.00","4.35","","4.35","","","","-506,603.89"
