"Payment Schedule"
"Date","Defer Date","Total Due","Total Cap","Principal","Interest","Charge","Tax","Total Pymt","Outstanding"
"19 FEB 2019","","3,782.27","0.00","1,087.10","2,695.17","","","","-725,933.84"
"19 MAR 2019","","3,782.27","0.00","1,091.13","2,691.14","","","","-724,842.71"
"19 APR 2019","","3,782.27","0.00","1,095.18","2,687.09","","","","-723,747.53"
"19 MAY 2019","","3,782.27","0.00","1,099.24","2,683.03","","","","-722,648.29"
"19 JUN 2019","","3,782.27","0.00","1,103.31","2,678.96","","","","-721,544.98"
"19 JUL 2019","","3,782.27","0.00","1,107.40","2,674.87","","","","-720,437.58"
"19 AUG 2019","","3,782.27","0.00","1,111.51","2,670.76","","","","-719,326.07"
"19 SEP 2019","","3,782.27","0.00","1,115.63","2,666.64","","","","-718,210.44"
"19 OCT 2019","","3,782.27","0.00","1,119.76","2,662.51","","","","-717,090.68"
"19 NOV 2019","","3,782.27","0.00","1,123.92","2,658.35","","","","-715,966.76"
"19 DEC 2019","","3,782.27","0.00","1,128.08","2,654.19","","","","-714,838.68"
"19 JAN 2020","","3,782.27","0.00","1,132.26","2,650.01","","","","-713,706.42"
"19 FEB 2020","","3,782.27","0.00","1,136.46","2,645.81","","","","-712,569.96"
"19 MAR 2020","","3,782.27","0.00","1,140.67","2,641.60","","","","-711,429.29"
"19 APR 2020","","3,782.27","0.00","1,728.08","2,054.19","","","","-709,701.21"
"19 MAY 2020","","3,782.27","0.00","2,024.85","1,757.42","","","","-707,676.36"
"19 JUN 2020","","3,204.82","0.00","1,452.41","1,752.41","","","","-706,223.95"
"19 JUL 2020","","3,204.82","0.00","1,456.01","1,748.81","","","","-704,767.94"
"19 AUG 2020","","3,204.82","0.00","1,459.61","1,745.21","","","","-703,308.33"
"19 SEP 2020","","3,204.82","0.00","1,463.23","1,741.59","","","","-701,845.10"
"19 OCT 2020","","3,204.82","0.00","1,466.85","1,737.97","","","","-700,378.25"
"19 NOV 2020","","3,204.82","0.00","1,470.48","1,734.34","","","","-698,907.77"
"19 DEC 2020","","3,204.82","0.00","1,474.12","1,730.70","","","","-697,433.65"
"19 JAN 2021","","3,204.82","0.00","1,477.77","1,727.05","","","","-695,955.88"
"19 FEB 2021","","3,204.82","0.00","1,481.43","1,723.39","","","","-694,474.45"
"19 MAR 2021","","3,204.82","0.00","1,485.10","1,719.72","","","","-692,989.35"
"19 APR 2021","","3,204.82","0.00","1,488.78","1,716.04","","","","-691,500.57"
"19 MAY 2021","","3,204.82","0.00","1,492.47","1,712.35","","","","-690,008.10"
"19 JUN 2021","","3,204.82","0.00","1,496.16","1,708.66","","","","-688,511.94"
"19 JUL 2021","","3,204.82","0.00","1,499.87","1,704.95","","","","-687,012.07"
"19 AUG 2021","","3,204.82","0.00","1,503.58","1,701.24","","","","-685,508.49"
"09 SEP 2021","","0.00","50.00","","","50.00","","","-685,558.49"
"19 SEP 2021","","3,204.82","0.00","1,507.26","1,697.56","","","","-684,051.23"
"19 OCT 2021","","3,204.82","0.00","1,507.18","1,697.64","","","","-682,544.05"
"19 NOV 2021","","3,204.82","0.00","1,510.91","1,693.91","","","","-681,033.14"
"19 DEC 2021","","3,204.82","0.00","1,514.65","1,690.17","","","","-679,518.49"
"19 JAN 2022","","3,204.82","0.00","1,518.41","1,686.41","","","","-678,000.08"
"19 FEB 2022","","3,204.82","0.00","1,522.17","1,682.65","","","","-676,477.91"
"19 MAR 2022","","3,204.82","0.00","1,525.93","1,678.89","","","","-674,951.98"
"19 APR 2022","","3,204.82","0.00","1,529.71","1,675.11","","","","-673,422.27"
"19 MAY 2022","","3,204.82","0.00","1,533.50","1,671.32","","","","-671,888.77"
"19 JUN 2022","","3,204.82","0.00","1,537.30","1,667.52","","","","-670,351.47"
"19 JUL 2022","","3,204.82","0.00","1,541.11","1,663.71","","","","-668,810.36"
"19 AUG 2022","","3,204.82","0.00","1,544.92","1,659.90","","","","-667,265.44"
"19 SEP 2022","","3,204.82","0.00","1,548.75","1,656.07","","","","-665,716.69"
"19 OCT 2022","","3,204.82","0.00","1,552.58","1,652.24","","","","-664,164.11"
"19 NOV 2022","","3,204.82","0.00","1,556.43","1,648.39","","","","-662,607.68"
"19 DEC 2022","","3,204.82","0.00","1,560.28","1,644.54","","","","-661,047.40"
"19 JAN 2023","","3,204.82","0.00","1,564.15","1,640.67","","","","-659,483.25"
"19 FEB 2023","","3,204.82","0.00","1,568.02","1,636.80","","","","-657,915.23"
"19 MAR 2023","","3,204.82","0.00","1,571.90","1,632.92","","","","-656,343.33"
"19 APR 2023","","3,204.82","0.00","1,575.79","1,629.03","","","","-654,767.54"
"19 MAY 2023","","3,204.82","0.00","1,579.70","1,625.12","","","","-653,187.84"
"19 JUN 2023","","3,204.82","0.00","1,583.61","1,621.21","","","","-651,604.23"
"19 JUL 2023","","3,204.82","0.00","1,587.53","1,617.29","","","","-650,016.70"
"19 AUG 2023","","3,204.82","0.00","1,591.46","1,613.36","","","","-648,425.24"
"19 SEP 2023","","3,204.82","0.00","1,595.40","1,609.42","","","","-646,829.84"
"19 OCT 2023","","3,204.82","0.00","1,599.35","1,605.47","","","","-645,230.49"
"19 NOV 2023","","3,204.82","0.00","1,603.31","1,601.51","","","","-643,627.18"
"19 DEC 2023","","3,204.82","0.00","1,607.28","1,597.54","","","","-642,019.90"
"19 JAN 2024","","3,204.82","0.00","1,611.26","1,593.56","","","","-640,408.64"
"19 FEB 2024","","3,204.82","0.00","1,615.25","1,589.57","","","","-638,793.39"
"19 MAR 2024","","3,204.82","0.00","1,619.25","1,585.57","","","","-637,174.14"
