BATCH.STAGE,BATCH,JOB.NAME,START.TIME,END.TIME,ELAPSED.TIME,PROCESSED RECS,THROUGHPUT,COMPLETED RECS,SELECTION.TIME,BULK.NO,TXN.MGMT,WRITE.CACHE,LOCK.COLLISION,TOTAL WRITE,,DET PROCESSED,DET COMPLETED,DET THROUGHPUT,DET BULK.NUMBER,DET SELECT,TYPE OF SELECT, DET SELECT TIME
A000,B2B/COB.INITIALISE,COB.EXECUTE.API,14:40:17,14:40:17,00:00:00,1,60,1,0,0,Y,N,0,0,,1,1,60,0,SingleThread,,0
A000,B2B/COB.INITIALISE,COB.CHECK.EB.EOD.ERROR,14:40:18,14:40:19,00:00:01,1,60,1,0,0,Y,N,0,0,,1,1,60,0,SingleThread,,0
A000,B2B/COB.INITIALISE,LBC.START.SERVICE,14:40:19,14:40:19,00:00:00,1,60,1,0,0,Y,N,0,0,,1,1,60,0,SingleThread,,0
A000,BLT/COB.INITIALISE,COB.EXECUTE.API,14:40:19,14:40:19,00:00:00,1,60,1,0,0,Y,N,0,0,,1,1,60,0,SingleThread,,0
A000,BLT/COB.INITIALISE,COB.CHECK.EB.EOD.ERROR,14:40:19,14:40:19,00:00:00,1,60,1,0,0,Y,N,0,0,,1,1,60,0,SingleThread,,0
A000,BLT/COB.INITIALISE,LBC.START.SERVICE,14:40:20,14:40:20,00:00:00,1,60,1,0,0,Y,N,0,0,,1,1,60,0,SingleThread,,0
A000,BNK/COB.INITIALISE,COB.EXECUTE.API,14:40:18,14:40:18,00:00:00,1,60,1,0,0,Y,N,0,0,,1,1,60,0,SingleThread,,0
A000,BNK/COB.INITIALISE,COB.CHECK.EB.EOD.ERROR,14:40:19,14:40:19,00:00:00,1,60,1,0,0,Y,N,0,0,,1,1,60,0,SingleThread,,0
A000,BNK/COB.INITIALISE,LBC.START.SERVICE,14:40:20,14:40:20,00:00:00,1,60,1,0,0,Y,N,0,0,,1,1,60,0,SingleThread,,0
A000,TLL/COB.INITIALISE,COB.EXECUTE.API,14:40:20,14:40:20,00:00:00,1,60,1,0,0,Y,N,0,0,,1,1,60,0,SingleThread,,0
A000,TLL/COB.INITIALISE,COB.CHECK.EB.EOD.ERROR,14:40:20,14:40:20,00:00:00,1,60,1,0,0,Y,N,0,0,,1,1,60,0,SingleThread,,0
A000,TLL/COB.INITIALISE,LBC.START.SERVICE,14:40:20,14:40:20,00:00:00,1,60,1,0,0,Y,N,0,0,,1,1,60,0,SingleThread,,0
A001,B2B/UNAUTH.PROCESSING,EB.CYCLE.DATES,14:40:22,14:40:22,00:00:00,1,60,1,0,0,Y,Y,0,0,,1,1,60,0,,PREDEFINED,0
A001,B2B/UNAUTH.PROCESSING,EB.SY.UNAUTH.PROCESSING,14:40:23,14:40:23,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,,PREDEFINED,0
A001,B2B/UNAUTH.PROCESSING,UNAUTH.PROCESSING,14:41:38,14:41:39,00:01:16,1,60,1,75,0,Y,Y,0,0,,1,1,60,0,,PREDEFINED,75
A001,BLT/UNAUTH.PROCESSING,EB.CYCLE.DATES,14:40:22,14:40:22,00:00:00,1,60,1,0,0,Y,Y,0,0,,1,1,60,0,,PREDEFINED,0
A001,BLT/UNAUTH.PROCESSING,EB.SY.UNAUTH.PROCESSING,14:40:23,14:40:23,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,,PREDEFINED,0
A001,BLT/UNAUTH.PROCESSING,UNAUTH.PROCESSING,14:41:38,14:41:39,00:01:16,1,60,1,75,0,Y,Y,0,0,,1,1,60,0,,PREDEFINED,75
