=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.08.20 12:35:56 =~=~=~=~=~=~=~=~=~=~=~=
tRun LAUR.IO.TEST
Program started 
Time taken for Initialise Variable:   1
Time taken for Opening Connection to reach table:   1025
ud3600t2402
Time taken for Execute host Name:   4
Time for WRITE :   TEST1    12
Time for WRITE :   TEST2    3
Time for WRITE :   TEST3    3
Time for WRITE :   TEST4    3
Time for WRITE :   TEST5    2
Time for WRITE :   TEST6    3
Time for WRITE :   TEST7    2
Time for WRITE :   TEST8    3
Time for WRITE :   TEST9    2
Time for WRITE :   TEST10    2
Time for WRITE :   TEST11    2
Time for WRITE :   TEST12    2
Time for WRITE :   TEST13    1
Time for WRITE :   TEST14    2
Time for WRITE :   TEST15    2
Time for WRITE :   TEST16    2
Time for WRITE :   TEST17    2
Time for WRITE :   TEST18    2
Time for WRITE :   TEST19    2
Time for WRITE :   TEST20    2
Time for WRITE :   TEST21    2
Time for WRITE :   TEST22    2
Time for WRITE :   TEST23    3
Time for WRITE :   TEST24    2
Time for WRITE :   TEST25    2
Time for WRITE :   TEST26    1
Time for WRITE :   TEST27    2
Time for WRITE :   TEST28    2
Time for WRITE :   TEST29    4
Time for WRITE :   TEST30    2
Time for WRITE :   TEST31    2
Time for WRITE :   TEST32    2
Time for WRITE :   TEST33    3
Time for WRITE :   TEST34    2
Time for WRITE :   TEST35    2
Time for WRITE :   TEST36    1
Time for WRITE :   TEST37    2
Time for WRITE :   TEST38    2
Time for WRITE :   TEST39    2
Time for WRITE :   TEST40    2
Time for WRITE :   TEST41    3
Time for WRITE :   TEST42    2
Time for WRITE :   TEST43    3
Time for WRITE :   TEST44    2
Time for WRITE :   TEST45    2
Time for WRITE :   TEST46    2
Time for WRITE :   TEST47    2
Time for WRITE :   TEST48    2
Time for WRITE :   TEST49    2
Time for WRITE :   TEST50    2
Time for WRITE :   TEST51    2
Time for WRITE :   TEST52    2
Time for WRITE :   TEST53    2
Time for WRITE :   TEST54    2
Time for WRITE :   TEST55    2
Time for WRITE :   TEST56    2
Time for WRITE :   TEST57    2
Time for WRITE :   TEST58    2
Time for WRITE :   TEST59    2
Time for WRITE :   TEST60    2
Time for WRITE :   TEST61    3
Time for WRITE :   TEST62    2
Time for WRITE :   TEST63    2
Time for WRITE :   TEST64    2
Time for WRITE :   TEST65    2
Time for WRITE :   TEST66    2
Time for WRITE :   TEST67    2
Time for WRITE :   TEST68    2
Time for WRITE :   TEST69    2
Time for WRITE :   TEST70    1
Time for WRITE :   TEST71    2
Time for WRITE :   TEST72    2
Time for WRITE :   TEST73    2
Time for WRITE :   TEST74    3
Time for WRITE :   TEST75    2
Time for WRITE :   TEST76    2
Time for WRITE :   TEST77    2
Time for WRITE :   TEST78    2
Time for WRITE :   TEST79    2
Time for WRITE :   TEST80    3
Time for WRITE :   TEST81    2
Time for WRITE :   TEST82    3
Time for WRITE :   TEST83    2
Time for WRITE :   TEST84    2
Time for WRITE :   TEST85    2
Time for WRITE :   TEST86    2
Time for WRITE :   TEST87    1
Time for WRITE :   TEST88    2
Time for WRITE :   TEST89    2
Time for WRITE :   TEST90    2
Time for WRITE :   TEST91    2
Time for WRITE :   TEST92    2
Time for WRITE :   TEST93    2
Time for WRITE :   TEST94    2
Time for WRITE :   TEST95    3
Time for WRITE :   TEST96    2
Time for WRITE :   TEST97    2
Time for WRITE :   TEST98    2
Time for WRITE :   TEST99    2
Time for WRITE :   TEST100    3
Time for WRITE :   TEST101    2
Time for WRITE :   TEST102    2
Time for WRITE :   TEST103    2
Time for WRITE :   TEST104    2
Time for WRITE :   TEST105    2
Time for WRITE :   TEST106    2
Time for WRITE :   TEST107    2
Time for WRITE :   TEST108    2
Time for WRITE :   TEST109    2
Time for WRITE :   TEST110    2
Time for WRITE :   TEST111    2
Time for WRITE :   TEST112    2
Time for WRITE :   TEST113    2
Time for WRITE :   TEST114    1
Time for WRITE :   TEST115    2
Time for WRITE :   TEST116    2
Time for WRITE :   TEST117    3
Time for WRITE :   TEST118    2
Time for WRITE :   TEST119    2
